Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched
Bachelors,2017,Bangalore,3,34,Male,No
Bachelors,2013,Pune,1,28,Female,No
Bachelors,2014,New Delhi,3,38,Female,No
Bachelors,2016,Bangalore,3,22,Male,No
Bachelors,2015,New Delhi,3,38,Male,No
Bachelors,2016,Bangalore,3,34,Female,No
Bachelors,2016,Pune,3,23,Male,No
Bachelors,2016,Pune,3,34,Male,No
Bachelors,2018,Pune,3,32,Male,Yes
Bachelors,2016,Bangalore,3,39,Male,No
Bachelors,2012,Bangalore,3,37,Male,No
Bachelors,2017,Bangalore,1,29,Male,No
Bachelors,2014,Bangalore,3,34,Female,No
Bachelors,2014,Pune,3,34,Male,No
Bachelors,2015,Pune,2,30,Female,No
Bachelors,2016,New Delhi,2,22,Female,No
Bachelors,2012,Bangalore,3,37,Male,No
Bachelors,2017,New Delhi,2,36,Male,No
Bachelors,2015,Bangalore,3,27,Male,Yes
Bachelors,2017,Bangalore,3,29,Male,No
Bachelors,2013,Bangalore,3,22,Female,Yes
Bachelors,2016,Bangalore,3,37,Male,No
Bachelors,2015,Bangalore,3,23,Male,No
Bachelors,2013,Pune,2,31,Female,No
Bachelors,2014,Bangalore,3,23,Male,No
Bachelors,2018,Bangalore,3,26,Male,No
Bachelors,2016,Bangalore,3,40,Male,No
Bachelors,2017,Pune,2,37,Female,No
Bachelors,2014,Bangalore,1,30,Female,No
Bachelors,2012,New Delhi,3,29,Male,No
Bachelors,2018,New Delhi,2,34,Female,No
Bachelors,2017,Pune,2,29,Female,No
Bachelors,2014,Pune,3,30,Male,Yes
Bachelors,2015,Bangalore,3,36,Male,No
Bachelors,2013,Bangalore,3,30,Male,No
Bachelors,2014,Bangalore,3,36,Male,No
Bachelors,2015,Pune,3,39,Male,No
Bachelors,2014,Bangalore,3,23,Female,No
Bachelors,2013,Bangalore,3,30,Female,No
Bachelors,2015,Pune,2,26,Female,No
Bachelors,2016,Bangalore,3,34,Female,No
Bachelors,2014,Bangalore,3,31,Female,Yes
Bachelors,2017,New Delhi,3,31,Female,Yes
Bachelors,2016,Bangalore,3,38,Male,No
Bachelors,2013,Pune,3,32,Male,No
Bachelors,2015,Bangalore,3,30,Male,No
Bachelors,2014,Pune,1,22,Female,No
Bachelors,2016,Bangalore,3,34,Male,No
Bachelors,2018,Bangalore,3,40,Male,No
Bachelors,2014,New Delhi,3,28,Male,No
Bachelors,2015,Bangalore,3,24,Female,No
Bachelors,2018,Bangalore,3,23,Female,No
Bachelors,2014,Pune,3,25,Female,No
Bachelors,2014,Bangalore,1,27,Male,No
Bachelors,2015,Bangalore,3,40,Male,No
Bachelors,2014,Bangalore,1,23,Female,No
Bachelors,2017,Bangalore,3,23,Female,No
Bachelors,2012,Bangalore,3,39,Male,No
Bachelors,2017,Pune,3,38,Male,No
Bachelors,2013,Bangalore,3,31,Female,No
Bachelors,2016,Bangalore,3,38,Male,No
Bachelors,2017,Bangalore,3,25,Female,No
Bachelors,2015,Bangalore,3,27,Female,Yes
Bachelors,2016,Pune,2,36,Male,No
Bachelors,2017,Pune,2,27,Female,No
Bachelors,2014,Bangalore,3,28,Male,No
Bachelors,2018,Bangalore,3,30,Male,No
Bachelors,2015,New Delhi,3,22,Male,No
Bachelors,2017,New Delhi,2,34,Female,No
Bachelors,2014,Bangalore,3,39,Male,No
Bachelors,2016,Bangalore,3,31,Female,No
Bachelors,2014,Bangalore,3,27,Male,No
Bachelors,2014,Bangalore,3,29,Female,No
Bachelors,2015,Bangalore,3,24,Female,No
Bachelors,2013,Pune,3,25,Male,No
Bachelors,2015,Pune,2,28,Female,Yes
Bachelors,2017,New Delhi,3,28,Male,No
Bachelors,2017,Bangalore,3,28,Male,No
Bachelors,2015,Bangalore,2,25,Female,No
Bachelors,2015,Bangalore,3,27,Female,No
Bachelors,2013,Bangalore,3,27,Male,No
Bachelors,2012,Bangalore,3,25,Male,No
Bachelors,2014,Pune,1,26,Female,No
Bachelors,2015,Bangalore,3,28,Male,No
Bachelors,2017,Bangalore,3,26,Female,No
Bachelors,2017,New Delhi,2,25,Male,No
Bachelors,2012,Bangalore,1,28,Female,No
Bachelors,2015,New Delhi,3,25,Female,No
Bachelors,2012,Bangalore,3,26,Male,No
Bachelors,2014,Bangalore,3,28,Female,No
Bachelors,2013,Bangalore,3,28,Male,No
Bachelors,2015,Pune,3,27,Male,No
Bachelors,2018,Bangalore,3,25,Male,No
Bachelors,2013,Bangalore,3,28,Male,No
Bachelors,2012,Pune,3,28,Male,No
Bachelors,2013,Bangalore,3,26,Male,No
Bachelors,2017,Pune,2,24,Female,No
Bachelors,2017,New Delhi,3,28,Female,No
Bachelors,2016,Bangalore,3,26,Male,No
Bachelors,2013,Bangalore,3,27,Female,No
Bachelors,2014,Bangalore,3,25,Male,No
Bachelors,2016,Pune,3,28,Male,No
Bachelors,2015,Pune,3,26,Male,No
Bachelors,2018,New Delhi,3,27,Female,No
Bachelors,2016,Bangalore,3,24,Male,No
